Pixels, Value
0, 5568
134,3, 46400
134,4, 46400
134,5, 46400
134,6, 46400
134,7, 46400
134,8, 45504
134,9, 45504
135, 45504
135,1, 45504
135,2, 45504
135,3, 45504
135,4, 45504
135,5, 45504
135,6, 45504
135,7, 45504
135,8, 45696
135,9, 45696
136, 45696
136,1, 45696
136,2, 45696
136,3, 45696
136,4, 45696
136,5, 45696
136,6, 45696
136,7, 45696
136,8, 45760
136,9, 45760
137, 45760
137,1, 45760
137,2, 45760
137,3, 45760
137,4, 45760
137,5, 45760
137,6, 45760
137,7, 45760
137,8, 45440
137,9, 45440
138, 45440
138,1, 45440
138,2, 45440
138,3, 45440
138,4, 45440
138,5, 45440
138,6, 45440
138,7, 45440
138,8, 31040
138,9, 31040
139, 31040
139,1, 31040
139,2, 31040
139,3, 31040
139,4, 31040
139,5, 31040
139,6, 31040
139,7, 31040
139,8, 13888
139,9, 13888
140, 13888
140,1, 13888
140,2, 13888
140,3, 13888
140,4, 13888
140,5, 13888
140,6, 13888
140,7, 13888
140,8, 11200
140,9, 11200
141, 11200
141,1, 11200
141,2, 11200
141,3, 11200
141,4, 11200
141,5, 11200
141,6, 11200
141,7, 11200
141,8, 11648
141,9, 11648
142, 11648
142,1, 11648
142,2, 11648
142,3, 11648
142,4, 11648
142,5, 11648
142,6, 11648
142,7, 11648
142,8, 25600
142,9, 25600
143, 25600
143,1, 25600
143,2, 25600
143,3, 25600
143,4, 25600
143,5, 25600
143,6, 25600
143,7, 25600
143,8, 40960
143,9, 40960
144, 40960
144,1, 40960
144,2, 40960
144,3, 40960
144,4, 40960
144,5, 40960
144,6, 40960
144,7, 40960
144,8, 41472
144,9, 41472
145, 41472
145,1, 41472
145,2, 41472
145,3, 41472
145,4, 41472
145,5, 41472
145,6, 41472
145,7, 41472
145,8, 27072
145,9, 27072
146, 27072
146,1, 27072
146,2, 27072
146,3, 27072
146,4, 27072
146,5, 27072
146,6, 27072
146,7, 27072
146,8, 12864
146,9, 12864
147, 12864
147,1, 12864
147,2, 12864
147,3, 12864
147,4, 12864
147,5, 12864
147,6, 12864
147,7, 12864
147,8, 10944
147,9, 10944
148, 10944
148,1, 10944
148,2, 10944
148,3, 10944
148,4, 10944
148,5, 10944
148,6, 10944
148,7, 10944
148,8, 15232
148,9, 15232
149, 15232
149,1, 15232
149,2, 15232
149,3, 15232
149,4, 15232
149,5, 15232
149,6, 15232
149,7, 15232
149,8, 33088
149,9, 33088
150, 33088
150,1, 33088
150,2, 33088
150,3, 33088
150,4, 33088
150,5, 33088
150,6, 33088
150,7, 33088
150,8, 42496
150,9, 42496
151, 42496
151,1, 42496
151,2, 42496
151,3, 42496
151,4, 42624
151,5, 42624
151,6, 42624
151,7, 42624
151,8, 40640
151,9, 40640
152, 40640
152,1, 40640
152,2, 40640
152,3, 40640
152,4, 40640
152,5, 40640
152,6, 40640
152,7, 40640
152,8, 24448
152,9, 24448
153, 24448
153,1, 24448
153,2, 24448
153,3, 24448
153,4, 24448
153,5, 24448
153,6, 24448
153,7, 24448
153,8, 12864
153,9, 12864
154, 12864
154,1, 12864
154,2, 12864
154,3, 12864
154,4, 12864
154,5, 12864
154,6, 12864
154,7, 12864
154,8, 11072
154,9, 11072
155, 11072
155,1, 11072
155,2, 11072
155,3, 11072
155,4, 11072
155,5, 11072
155,6, 11072
155,7, 11072
155,8, 16000
155,9, 16000
156, 16000
156,1, 16000
156,2, 16000
156,3, 16000
156,4, 16000
156,5, 16000
156,6, 16000
156,7, 16000
156,8, 34048
156,9, 34048
157, 34048
157,1, 34048
157,2, 34048
157,3, 34048
157,4, 34048
157,5, 34048
157,6, 34048
157,7, 34048
157,8, 42752
157,9, 42752
158, 42752
158,1, 42752
158,2, 42752
158,3, 42752
158,4, 42752
158,5, 42752
158,6, 42752
158,7, 42752
158,8, 45696
158,9, 45696
159, 45696
159,1, 45696
159,2, 45696
159,3, 45696
159,4, 45696
159,5, 45696
159,6, 45696
159,7, 45696
159,8, 46144
159,9, 46144
160, 46144
160,1, 46144
160,2, 46144
160,3, 46144
160,4, 46144
160,5, 46144
160,6, 46144
160,7, 46144
160,8, 45888
160,9, 45888
161, 45888
161,1, 45888
161,2, 45888
161,3, 45888
161,4, 45888
161,5, 45888
161,6, 45888
161,7, 45888
161,8, 46272
161,9, 46272
162, 46272
162,1, 46272
162,2, 46272
162,3, 46272
162,4, 46272
162,5, 46272
162,6, 46272
162,7, 46272
162,8, 45632
162,9, 45632
163, 45632
163,1, 45632
163,2, 45632
163,3, 45632
163,4, 45632
163,5, 45632
163,6, 45632
163,7, 45632
163,8, 46400
163,9, 46400
164, 46400
164,1, 46400
164,2, 46400
164,3, 46400
164,4, 46400
164,5, 46400
164,6, 46400
164,7, 46400
164,8, 46656
164,9, 46656
165, 46656
165,1, 46656
165,2, 46656
165,3, 46656
165,4, 46656
165,5, 46656
165,6, 46656
165,7, 46656
165,8, 45952
165,9, 45952
166, 45952
166,1, 45952
166,2, 45952
166,3, 45952
166,4, 45952
166,5, 45952
166,6, 45952
166,7, 45952
166,8, 47552
166,9, 47552
167, 47552
167,1, 47552
167,2, 47552
167,3, 47552
167,4, 47552
167,5, 47552
167,6, 47552
167,7, 47552
167,8, 46336
167,9, 46336
168, 46336
168,1, 46336
168,2, 46336
168,3, 46336
168,4, 46336
168,5, 46336
168,6, 46336
168,7, 46336
168,8, 46784
168,9, 46784
169, 46784
169,1, 46784
169,2, 46784
169,3, 46784
169,4, 46784
169,5, 46784
169,6, 46784
169,7, 46784
169,8, 46400
169,9, 46400
170, 46400
170,1, 46400
170,2, 46400
170,3, 46400
170,4, 46400
170,5, 46400
170,6, 46400
170,7, 46400
170,8, 46272
170,9, 46272
171, 46272
171,1, 46272
171,2, 46272
171,3, 46272
171,4, 46272
171,5, 46272
171,6, 46272
171,7, 46272
171,8, 47168
171,9, 47168
172, 47168
172,1, 47168
172,2, 47168
172,3, 47168
172,4, 47168
172,5, 47168
172,6, 47168
172,7, 47168
172,8, 47104
172,9, 47104
173, 47104
173,1, 47104
173,2, 47104
173,3, 47104
173,4, 47104
173,5, 47104
173,6, 47104
173,7, 47104
173,8, 48192
173,9, 48192
174, 48192
174,1, 48192
174,2, 48192
174,3, 48192
174,4, 48192
174,5, 48192
174,6, 48192
174,7, 48192
174,8, 46208
174,9, 46208
175, 46208
175,1, 46208
175,2, 46208
175,3, 46208
175,4, 46208
175,5, 46208
175,6, 46208
175,7, 46208
175,8, 47040
175,9, 47040
176, 47040
176,1, 47040
176,2, 47040
176,3, 47040
176,4, 47040
176,5, 47040
176,6, 47040
176,7, 47040
176,8, 47232
176,9, 47232
177, 47232
177,1, 47232
177,2, 47232
177,3, 47232
177,4, 47232
177,5, 47232
177,6, 47232
177,7, 47232
177,8, 47104
177,9, 47104
178, 47104
178,1, 47104
178,2, 47104
178,3, 47104
178,4, 47104
178,5, 47104
178,6, 47104
178,7, 47104
